Age,Education,EmploymentLengthYears,MonthlyIncome,Dependents,CreditScore,ExistingLoans,MonthlyDebt,YearsWithBank,HasSavingsAccount,HasCheckingAccount,LoanAmount,LoanTermMonths,InterestRate,LoanDefault,LoanPurposeDescription,Sentiment_Score,EmploymentType_Full-Time,EmploymentType_Part-Time,EmploymentType_Self-Employed,EmploymentType_Unemployed,EmploymentSector_Education,EmploymentSector_Finance,EmploymentSector_Government,EmploymentSector_Healthcare,EmploymentSector_Manufacturing,EmploymentSector_Other,EmploymentSector_Retail,EmploymentSector_Services,EmploymentSector_Technology,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,PropertyOwnership_Own Outright,PropertyOwnership_Own with Mortgage,PropertyOwnership_Rent,LoanPurpose_Car Loan,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home Improvement,LoanPurpose_Home Purchase,LoanPurpose_Medical,LoanPurpose_Personal,LoanPurpose_Vacation,LoanPurpose_Wedding,Sentiment_Neutral,Sentiment_Positive,Sentiment_Unknown
19,1.0,0,1886.704785860204,1,608,1,1028.830349859637,1,0,1,11731.12892004046,24,12.7218265054373,0,Debt Consolidation: unknown,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
19,1.0,0,905.9802692267266,0,519,2,355.37041257778657,0,1,1,28062.430243716928,36,15.704060129378624,1,Applying for financing to cover the cost of the project.,0.9172947406768799,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20,3.0,0,3440.551996253258,0,614,3,1058.667988356051,0,1,1,174085.66749033768,120,12.286558893080592,1,Home Purchase: unknown,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27,3.0,7,7651.751256572742,2,624,1,2176.4570738468874,8,1,1,189768.2592997772,240,11.849564707650163,0,Applying for business credit to the credit card issuer.,0.9220738410949707,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,3.0,2,8197.069037071575,2,815,1,1359.5107104774966,25,1,1,23983.775643815326,60,5.724130082543915,0,Applying for financing to cover the costs of the project.,0.9215720891952515,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
64,1.0,16,2651.133108898411,3,708,0,1041.061632289037,12,0,1,24338.472288364097,36,6.933635344066728,0,"Applying for financing to cover the costs of the project, and the project's budget for the project.",0.914150595664978,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2.0,0,153.76470254858165,0,527,4,102.85540164395564,3,0,1,61529.787427698895,60,13.745474219031156,1,"I need an education loan to pursue the full potential of a student,” he said.",0.9873195886611938,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61,3.0,16,10783.782439949233,1,735,0,3027.5260989710187,2,1,1,19315.852726244288,24,8.473887420701192,1,Need funds for the development of the new home in the city.,0.9805616736412048,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1.0,1,886.4302137318765,0,604,1,461.33318450406966,3,0,1,22635.81739243507,60,12.726702593436292,1,"Applying for financing to cover the cost of the project, which is expected to cost $1.",0.9915999174118042,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
31,4.0,3,8468.034351981612,0,696,1,3330.6068005327825,10,1,1,28126.5678292017,84,7.763555017594644,1,Need funding for my education in the United States.,0.9906061291694641,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,4.0,2,14084.354645634356,3,808,3,1116.534375583802,24,0,1,43078.09800623783,60,3.5645297673737173,0,Applying for student financing for student loans and other forms of student loan payments.,0.932248592376709,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,4.0,16,18987.534058361423,2,768,1,3252.295187771382,17,1,0,5413.867322748334,12,5.158754422770139,0,Need to refinance existing loans because of the high interest rates on the loans.,0.991283655166626,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
46,1.0,23,5321.120470180589,2,701,0,2050.3240936162674,9,1,1,27868.27787391259,12,6.850349579424433,0,Need funds for the entire project.,0.9929001331329346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,1.0,16,20297.86390039693,3,721,1,5346.811787422552,14,1,1,22791.679424641967,48,8.182281320669155,1,I need a personal loan for my kids.,0.9982373714447021,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
56,2.0,10,3856.128963000679,0,695,2,1269.3543714907896,10,1,0,7755.822718030818,12,8.08835892431813,1,I need a personal loan for the rest of my life.,0.9969384670257568,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
27,2.0,5,9600.569066613143,0,632,1,2483.657840664544,6,1,0,22245.526783219048,24,10.497381269769644,1,Need funds for the project.,0.9833061099052429,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
40,3.0,5,10928.174154784669,1,664,2,3635.39512876189,3,1,1,16630.140307092952,60,9.468038855572685,0,Applying for financing to cover expenses incurred by the organization.,0.968051552772522,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,1.0,0,898.094505318758,0,572,1,369.2815108740864,0,1,0,28606.72177226801,12,17.757486684997712,1,Personal: unknown,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
31,3.0,9,11207.511559477667,1,723,1,1962.002562474274,1,0,0,5414.812015814947,24,7.307348325899763,0,Applying for financing to cover the costs of the project.,0.9215720891952515,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54,1.0,11,6524.890658370503,0,672,1,2141.4326990161344,12,1,0,44759.07935353276,60,8.14880472678879,0,I need an education loan to pursue a career in finance.,0.9976776242256165,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
37,2.0,0,4604.329765415773,0,566,2,1296.1575948152972,8,1,1,30062.23242756496,48,16.153045793730385,1,Looking to finance a car because it’s a car.,0.98436039686203,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,3.0,0,2082.7186824511555,0,524,2,1158.0442477363913,1,0,0,186555.80497985773,120,17.66498629904239,1,I need a business loan to expand my business.,0.9976586103439331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,3.0,33,10014.656954358878,0,697,1,3024.646345972776,1,0,0,20916.108040557065,48,7.818507318679656,0,I need a personal loan for me.,0.9985173344612122,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18,2.0,0,1703.4852200197352,0,506,1,962.968528350914,0,1,0,17555.949342205702,36,19.300677680241822,1,Need funds for the game.,0.9965344667434692,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
65,2.0,12,3833.700845508286,0,681,0,1214.7229977544705,17,1,1,15446.789928126407,48,9.063588338589875,1,Car Loan: unknown,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23,2.0,3,1887.44402282022,2,482,2,955.603480899122,1,1,0,14770.177286768856,60,16.44471473947251,1,Need to refinance existing loans because they are not in the same position as those that are currently in the process of refinancing.,0.9982920289039612,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36,1.0,6,3398.937742529994,0,616,3,1771.2791518736358,9,1,1,86126.4595413971,60,13.052433454405232,0,I need an education loan to pursue a career in finance.,0.9976776242256165,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34,3.0,10,4074.5305923123287,2,702,0,1586.3304896931745,6,1,1,12954.081760566356,36,7.532400306803385,1,I need a personal loan for me.,0.9985173344612122,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,3.0,10,9175.518321362224,2,763,0,2015.0210621530557,24,1,1,37798.76490214761,48,4.571755052466084,0,Debt Consolidation: unknown,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,1.0,24,4092.508954964917,0,608,1,2086.307783162338,6,0,1,16738.48337219411,60,12.4046837144273,1,I need an education loan to pursue a career in medicine.,0.9978170394897461,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
56,3.0,13,5911.407603779785,1,771,1,817.5837328128456,11,1,1,27192.604568957493,36,3.792667541069015,0,Need funds for the next five years.,0.990562915802002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,3.0,20,7182.012965585258,0,645,1,3471.2320981556004,1,0,1,21633.27855348311,24,11.865328062875436,1,I need a personal loan for my next two years.,0.9985979199409485,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19,2.0,0,1411.968915047496,0,500,2,917.9851498834456,1,1,0,73786.47328809039,60,13.341628171901633,1,Need funding for my education in the United States is $1.,0.9831817746162415,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
40,3.0,2,9298.40721932633,3,768,1,690.6576803749168,0,1,1,18647.3816405418,36,5.23040335423533,0,I want to consolidate my debts to the highest bidder.,0.9963994026184082,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44,1.0,1,7740.275399588033,0,648,1,3930.577475440514,21,0,1,8049.360857564878,12,12.176013295022084,1,Need funds for a new project.,0.9936864972114563,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,2.0,3,1683.2425443281556,0,475,0,963.8944597414618,3,0,1,16207.852998481689,60,13.423165859535192,1,Need funds for the film.,0.9902044534683228,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,3.0,17,11770.841248043656,0,741,2,4538.253009655152,1,1,1,123575.43812296935,240,5.547898756660643,0,Applying for business credit to the bank.,0.9088759422302246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1.0,17,3730.195044406801,1,652,2,736.0454861568077,11,0,1,25669.914836024425,60,10.669385932751156,0,Need to refinance existing loans because it’s not worth it.,0.9997392296791077,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,1.0,0,3487.1013362342,0,586,2,1073.2590322031538,6,1,0,7882.050531182109,36,18.56739286571368,1,Need funds for the next two years.,0.9921218156814575,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,1.0,6,5013.778222953612,0,603,0,1628.795346466288,12,1,1,11798.743153215775,24,11.79895936980216,0,Applying for financing to cover the cost of the project.,0.9172947406768799,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,4.0,2,13360.75886043461,1,648,1,6873.626123048025,4,1,0,37997.59315942242,36,11.852783511861793,1,Applying for auto financing to purchase a car.,0.8946273326873779,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,1.0,3,1516.992821466267,2,567,1,454.892431293068,0,0,1,35303.77127025368,84,14.940269552722349,1,Need funding for my education in the U.,0.9809291362762451,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
26,3.0,5,11200.471662020092,1,757,1,2099.878683461044,1,1,0,5612.461206691309,36,4.872825840692932,0,Applying for financing to cover the costs of the project.,0.9215720891952515,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2.0,0,4972.155012713817,1,530,1,2022.6497892262853,0,0,1,74077.683182301,120,19.20774467140465,1,I need a business loan to expand my business.,0.9976586103439331,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,1.0,15,11131.303306048718,2,729,0,2458.1895701008725,14,0,0,5460.692968455437,36,8.020364508223656,0,Applying for financing to cover the cost of the new hospital.,0.9651515483856201,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25,3.0,1,8052.568292612531,0,712,1,2160.0437601126227,3,1,1,20562.99239324363,48,6.842404423967373,0,Need funds for the project.,0.9833061099052429,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,1.0,7,9904.419931272869,2,804,2,2203.145059984224,16,1,1,12846.887418061762,48,5.600270196098,0,Need funds for the next three years.,0.9913865327835083,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,1.0,1,1264.0518724788078,0,556,0,690.4107570393888,3,0,1,5062.858527106899,24,19.46685500325917,1,"Applying for financing to cover the cost of the project, the project will be paid for by the city, with the city and the city providing the costs",0.8677570223808289,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18,2.0,0,1924.1157594405615,2,528,1,1120.2402310707412,0,1,1,26781.822690434867,60,15.520824008423029,1,Need funds for a new home.,0.9974108338356018,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,1.0,3,1988.275038857248,3,544,0,1054.2687896596742,0,1,0,8268.368486446248,60,17.593595932861646,1,I need a personal loan for me.,0.9985173344612122,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,3.0,7,5595.567513676425,1,641,3,1419.1408682771569,5,0,1,5857.291957763559,12,11.116340544605134,1,Personal: unknown,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
29,3.0,1,4624.358980820223,0,691,1,923.1273429890092,7,1,0,9122.11941412846,48,9.98546424197588,0,Applying for financing to cover the costs of the construction of the project.,0.9556856155395508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37,2.0,1,5828.857279096121,0,777,2,1039.4390284085391,8,1,1,73341.30798914569,60,4.909149927571906,1,Need funding for my education in the first place.,0.9949068427085876,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2.0,1,2205.0064235655045,0,624,0,621.8272931589163,0,0,1,27936.63063887009,36,13.635027267733152,1,Need funds for the project.,0.9833061099052429,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
67,3.0,26,19500.510009330334,1,755,3,2289.222301795419,21,0,1,199920.1857758415,360,4.051221086722766,0,Seeking financing to start my own medical school in Beijing.,0.9875645041465759,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,3.0,0,4007.8662845437584,0,620,1,1741.6817443605455,2,1,1,25718.87672753141,72,12.108165855646607,1,I need a car loan to buy a vehicle for the next three years.,0.9990642666816711,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
35,0.0,11,3880.218129140552,0,740,3,1046.9594162652752,12,1,1,20393.55054855607,12,6.910547778089995,0,Applying for financing to cover the costs of the project.,0.9215720891952515,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,2.0,19,9867.597564182724,0,650,1,3648.86603307075,28,1,0,23649.121186956487,60,11.25605884097934,1,Need funds for the project.,0.9833061099052429,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
56,0.0,16,5700.321089678508,2,594,3,2548.4309801703967,13,1,1,11999.688736352433,36,15.903814703222675,1,"I need a personal loan for a long time, and I can't afford to take it for granted.",0.9977066516876221,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,3.0,7,6731.023510633083,2,630,1,3303.394986712597,2,1,1,57943.29763465403,120,12.15007770507228,1,Applying for student financing for the next four years.,0.9508228302001953,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21,3.0,0,1501.3878575962185,0,494,1,1022.3508064673854,3,1,1,28076.383077578885,48,13.250909066271925,1,Applying for auto financing to purchase a car in the United States.,0.8971013426780701,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
53,3.0,14,8764.60171039709,1,846,0,1384.5627782029007,26,0,1,110112.55934923136,240,5.429704951495612,0,Applying for business credit to the IRS.,0.9847951531410217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1.0,16,5025.388612312103,1,664,2,1298.9816073413945,28,1,0,11945.822489116355,24,9.617292846192145,1,I need a personal loan for a week to pay off the debt.,0.999040424823761,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,3.0,0,1472.009377398708,0,534,4,923.3659556438388,0,0,1,7117.52036703289,60,13.949421240909937,1,I need a personal loan for my family to pay for my car.,0.9993022680282593,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45,2.0,21,8128.572930344151,0,838,1,1298.48312829496,16,0,1,58098.11533592707,84,5.735543157239814,0,I need an education loan to pursue a career in finance.,0.9976776242256165,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,3.0,39,7446.441698207522,3,833,1,434.7459284194451,2,1,1,47726.45883119092,60,5.698325539196185,0,Applying for student financing for student loans.,0.9503378868103027,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,3.0,0,2598.0726885623817,1,562,2,718.5130189172469,0,1,1,23289.951213451648,60,16.13067516043274,1,"I need a personal loan for me, and I would like to see the money come back to me, and I would like to see the money come back",0.9710474610328674,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
45,1.0,24,5517.493467412173,2,625,4,2729.67407514972,2,1,1,16668.202344198762,36,10.664210085926143,1,Applying for financing to cover the costs of the project.,0.9215720891952515,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,3.0,7,15333.990566331457,2,675,0,5092.765877763866,10,1,1,421756.6062749037,360,8.121000693143975,0,Need mortgage financing for your own home.,0.9973869919776917,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2.0,1,3535.568320182677,0,539,0,2290.4323387128666,5,0,0,127011.60999889598,120,17.54764214428669,1,I am applying for a home loan to purchase a home in the UK.,0.9910845756530762,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,4.0,1,5177.85594775665,0,613,1,1384.813113289801,0,1,1,99537.96854527904,120,12.780140915434211,0,Need funding for my education in the first place.,0.9949068427085876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,1.0,6,3432.805327206129,0,718,2,758.8852042279867,3,1,1,196839.9270498926,120,5.662996104468712,0,Home Purchase: unknown,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
24,2.0,5,2031.854041808605,0,577,2,1112.7259531812283,5,1,0,45013.57127131733,60,17.94460397766997,1,Applying for auto financing to purchase a car.,0.8946273326873779,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
43,3.0,1,10578.311906731054,0,712,0,4170.9601129843,12,0,1,15172.699018071766,36,7.84715645217482,0,I need a personal loan for me.,0.9985173344612122,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
43,1.0,22,8276.286697693165,1,766,2,1565.830747650825,1,1,1,15223.823610356749,48,3.891092606677715,0,Applying for financing to cover the cost of the project.,0.9172947406768799,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
46,3.0,10,9024.677141197535,2,673,1,3420.693378573775,5,1,1,48004.49413586901,48,8.41856823437344,1,I want to consolidate my debts to repay my debts.,0.9972688555717468,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
43,2.0,19,5592.3058462151885,1,645,0,2176.213803646802,1,1,1,26200.95607968372,48,11.273216378769389,0,I need a car loan to buy a vehicle for the next five years.,0.9990255832672119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
63,1.0,5,3786.090800895001,1,636,1,2024.550126414351,5,0,1,17822.56040367994,12,13.018484886394369,0,I need a personal loan for my children.,0.997666597366333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,2.0,11,6612.3618770544135,1,706,0,2401.192298215138,17,1,1,47828.78310018629,48,6.65679277754,0,Car Loan: unknown,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,1.0,2,3058.115582617608,0,606,4,1630.0181613493828,3,0,1,29050.335669960277,36,10.490957278177236,1,I need a car loan to buy a vehicle for the next few months.,0.9991936087608337,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
