CustomerID,Age,Education,EmploymentType,EmploymentSector,EmploymentLengthYears,MonthlyIncome,MaritalStatus,Dependents,PropertyOwnership,CreditScore,ExistingLoans,MonthlyDebt,YearsWithBank,HasSavingsAccount,HasCheckingAccount,LoanPurpose,LoanAmount,LoanTermMonths,InterestRate,LoanDefault,LoanPurposeDescription
19,22,High School,Part-Time,Government,1,886.4302137318765,Single,0,Own with Mortgage,604,1,461.33318450406966,3,0,1,Vacation,22635.81739243507,60,12.726702593436293,1,"Applying for financing to cover the cost of the project, which is expected to cost $1."
20,31,Master,Full-Time,Technology,3,8468.034351981612,Single,0,Living with Parents,696,1,3330.6068005327825,10,1,1,Education,28126.56783,84,7.763555017594644,1,Need funding for my education in the United States.
21,63,Master,Full-Time,Retail,2,14084.354645634356,Married,3,Own with Mortgage,808,3,1116.5343755838019,24,0,1,Education,43078.09800623783,60,3.5645297673737173,0,Applying for student financing for student loans and other forms of student loan payments.
22,41,Master,Full-Time,Retail,16,18987.534058361423,Divorced,2,Rent,768,1,3252.2951877713826,17,1,0,Debt Consolidation,5413.867322748334,12,5.158754422770139,0,Need to refinance existing loans because of the high interest rates on the loans.
23,46,High School,Full-Time,Construction,23,5321.120470180589,Single,2,Own with Mortgage,701,0,2050.3240936162674,9,1,1,Wedding,27868.27787391259,12,6.850349579424433,0,Need funds for the entire project.
24,43,High School,Self-Employed,Retail,16,20297.86390039693,Married,3,Rent,721,1,5346.811787422552,14,1,1,Personal,22791.679424641967,48,8.182281320669155,1,I need a personal loan for my kids.
25,56,Associate,Part-Time,Finance,10,3856.1289630006786,Single,0,Rent,695,2,1269.3543714907896,10,1,0,Medical,7755.822718030818,12,8.088358924,1,I need a personal loan for the rest of my life.
26,27,Associate,Full-Time,Other,5,9600.569066613145,Married,0,Rent,632,1,2483.657840664544,6,1,0,Home Improvement,22245.526783219048,24,10.497381269769644,1,Need funds for the project.
27,40,Bachelor,Full-Time,Finance,5,10928.174154784669,Divorced,1,Own with Mortgage,664,2,3635.395129,3,1,1,Home Improvement,16630.140307092952,60,9.468038855572685,0,Applying for financing to cover expenses incurred by the organization.
28,19,High School,Part-Time,Manufacturing,0,898.0945053,Single,0,Rent,572,1,369.28151087408634,0,1,0,Personal,28606.72177226801,12,17.757486684997712,1,
29,31,Bachelor,Full-Time,Government,9,11207.511559477669,Married,1,Own with Mortgage,723,1,1962.002562474274,1,0,0,Personal,5414.812015814947,24,7.307348325899763,0,Applying for financing to cover the costs of the project.
30,54,High School,Full-Time,Government,11,6524.890658370503,Divorced,0,Own with Mortgage,672,1,2141.4326990161344,12,1,0,Education,44759.07935353276,60,8.148804727,0,I need an education loan to pursue a career in finance.
31,37,Associate,Unemployed,Manufacturing,0,4604.329765415773,Single,0,Own Outright,566,2,1296.1575948152972,8,1,1,Car Loan,30062.23242756496,48,16.153045793730385,1,Looking to finance a car because itâ€™s a car.
32,19,Bachelor,Part-Time,Construction,0,2082.7186824511555,Single,0,Rent,524,2,1158.0442477363913,1,0,0,Business,186555.80497985773,120,17.66498629904239,1,I need a business loan to expand my business.
33,55,Bachelor,Full-Time,Education,33,10014.656954358878,Divorced,0,Own with Mortgage,697,1,3024.6463459727756,1,0,0,Medical,20916.108040557065,48,7.818507318679656,0,I need a personal loan for me.
34,18,Associate,Contract,Retail,0,1703.4852200197352,Divorced,0,Rent,506,1,962.9685283509141,0,1,0,Vacation,17555.949342205702,36,19.300677680241826,1,Need funds for the game.
35,65,Associate,Part-Time,Other,12,3833.700845508286,Widowed,0,Own Outright,681,0,1214.7229977544703,17,1,1,Car Loan,15446.789928126407,48,9.063588338589875,1,
36,23,Associate,Part-Time,Finance,3,1887.4440228202202,Single,2,Rent,482,2,955.6034808991219,1,1,0,Debt Consolidation,14770.177286768856,60,16.44471473947251,1,Need to refinance existing loans because they are not in the same position as those that are currently in the process of refinancing.
37,36,High School,Part-Time,Education,6,3398.937742529994,Married,0,Own with Mortgage,616,3,1771.2791518736358,9,1,1,Education,86126.45954,60,13.052433454405232,0,I need an education loan to pursue a career in finance.
38,34,Bachelor,Part-Time,Other,10,4074.5305923123287,Married,2,Own with Mortgage,702,0,1586.3304896931745,6,1,1,Wedding,12954.081760566356,36,7.532400306803385,1,I need a personal loan for me.
39,45,Bachelor,Full-Time,Technology,10,9175.518321362224,Married,2,Living with Parents,763,0,2015.0210621530553,24,1,1,Debt Consolidation,37798.76490214761,48,4.571755052466084,0,
40,66,High School,Part-Time,Education,24,4092.5089549649174,Widowed,0,Own with Mortgage,608,1,2086.3077831623386,6,0,1,Education,16738.48337219411,60,12.40468371,1,I need an education loan to pursue a career in medicine.
41,56,Bachelor,Full-Time,Construction,13,5911.407603779785,Married,1,Own Outright,771,1,817.5837328128456,11,1,1,Wedding,27192.604568957493,36,3.7926675410690147,0,Need funds for the next five years.
42,50,Bachelor,Contract,Services,20,7182.012965585258,Divorced,0,Own with Mortgage,645,1,3471.2320981556004,1,0,1,Personal,21633.27855348311,24,11.865328062875435,1,I need a personal loan for my next two years.
43,19,Associate,Part-Time,Manufacturing,0,1411.968915047496,Single,0,Rent,500,2,917.9851498834456,1,1,0,Education,73786.47328809039,60,13.341628171901633,1,Need funding for my education in the United States is $1.
44,40,Bachelor,Full-Time,Healthcare,2,9298.407219,Married,3,Rent,768,1,690.6576803749168,0,1,1,Debt Consolidation,18647.38164,36,5.230403354,0,I want to consolidate my debts to the highest bidder.
45,44,High School,Self-Employed,Construction,1,7740.275399588033,Single,0,Own with Mortgage,648,1,3930.5774754405143,21,0,1,Personal,8049.360857564878,12,12.176013295022083,1,Need funds for a new project.
46,22,Associate,Part-Time,Services,3,1683.2425443281556,Single,0,Rent,475,0,963.8944597414618,3,0,1,Wedding,16207.852998481687,60,13.423165859535192,1,Need funds for the film.
47,38,Bachelor,Contract,Education,17,11770.841248043655,Divorced,0,Own with Mortgage,741,2,4538.253009655152,1,1,1,Business,123575.43812296937,240,5.547898756660643,0,Applying for business credit to the bank.
48,69,High School,Full-Time,Construction,17,3730.195044406801,Married,1,Own Outright,652,2,736.0454861568077,11,0,1,Debt Consolidation,25669.914836024425,60,10.669385932751155,0,Need to refinance existing loans because itâ€™s not worth it.
49,24,High School,Unemployed,Retail,0,3487.1013362341996,Single,0,Rent,586,2,1073.2590322031538,6,1,0,Medical,7882.050531182109,36,18.567392865713682,1,Need funds for the next two years.
50,41,High School,Self-Employed,Services,6,5013.7782229536115,Married,0,Rent,603,0,1628.795346466288,12,1,1,Personal,11798.743153215775,24,11.79895936980216,0,Applying for financing to cover the cost of the project.
51,27,Master,Full-Time,Manufacturing,2,13360.75886043461,Divorced,1,Rent,648,1,6873.626123048025,4,1,0,Car Loan,37997.593159422424,36,11.852783511861793,1,Applying for auto financing to purchase a car.
52,22,High School,Part-Time,Retail,3,1516.992821466267,Single,2,Own with Mortgage,567,1,454.89243129306794,0,0,1,Education,35303.77127025368,84,14.940269552722349,1,Need funding for my education in the U.
53,26,Bachelor,Full-Time,Construction,5,11200.471662020092,Married,1,Living with Parents,757,1,2099.8786834610437,1,1,0,Home Improvement,5612.461206691309,36,4.872825840692932,0,Applying for financing to cover the costs of the project.
54,18,Associate,Unemployed,Technology,0,4972.155012713817,Single,1,Rent,530,1,2022.6497892262853,0,0,1,Business,74077.68318,120,19.20774467140465,1,I need a business loan to expand my business.
55,41,High School,Full-Time,Retail,15,11131.303306048718,Married,2,Own with Mortgage,729,0,2458.1895701008725,14,0,0,Wedding,5460.692968455437,36,8.020364508223656,0,Applying for financing to cover the cost of the new hospital.
56,25,Bachelor,Full-Time,Healthcare,1,8052.568292612531,Single,0,Rent,712,1,2160.0437601126227,3,1,1,Wedding,20562.99239324363,48,6.842404423967373,0,Need funds for the project.
57,35,High School,Full-Time,Finance,7,9904.419931272869,Married,2,Own Outright,804,2,2203.1450599842237,16,1,1,Wedding,12846.887418061762,48,5.600270196,0,Need funds for the next three years.
58,24,High School,Part-Time,Retail,1,1264.0518724788078,Single,0,Own with Mortgage,556,0,690.4107570393888,3,0,1,Personal,5062.858527106899,24,19.46685500325917,1,"Applying for financing to cover the cost of the project, the project will be paid for by the city, with the city and the city providing the costs"
59,18,Associate,Part-Time,Healthcare,0,1924.1157594405618,Married,2,Living with Parents,528,1,1120.2402310707412,0,1,1,Home Improvement,26781.822690434867,60,15.520824008423027,1,Need funds for a new home.
60,22,High School,Part-Time,Manufacturing,3,1988.2750388572479,Married,3,Rent,544,0,1054.2687896596742,0,1,0,Wedding,8268.368486446248,60,17.593595932861646,1,I need a personal loan for me.
61,27,Bachelor,Self-Employed,Education,7,5595.567513676425,Married,1,Own with Mortgage,641,3,1419.1408682771569,5,0,1,Personal,5857.291957763559,12,11.116340544605134,1,
62,29,Bachelor,Part-Time,Construction,1,4624.358980820223,Single,0,Rent,691,1,923.1273429890092,7,1,0,Vacation,9122.119414128461,48,9.985464242,0,Applying for financing to cover the costs of the construction of the project.
63,37,Associate,Full-Time,Services,1,5828.857279096121,Married,0,Own Outright,777,2,1039.4390284085391,8,1,1,Education,73341.30798914569,60,4.909149927571906,1,Need funding for my education in the first place.
64,20,Associate,Full-Time,Retail,1,2205.0064235655045,Single,0,Own with Mortgage,624,0,621.8272931589163,0,0,1,Medical,27936.630638870094,36,13.635027267733152,1,Need funds for the project.
65,67,Bachelor,Self-Employed,Construction,26,19500.510009330334,Married,1,Rent,755,3,2289.222301795419,21,0,1,Business,199920.1857758415,360,4.051221086722766,0,Seeking financing to start my own medical school in Beijing.
66,21,Bachelor,Contract,Healthcare,0,4007.8662845437584,Single,0,Own with Mortgage,620,1,1741.6817443605455,2,1,1,Car Loan,25718.87672753141,72,12.108165855646607,1,I need a car loan to buy a vehicle for the next three years.
67,35,Below High School,Full-Time,Healthcare,11,3880.218129140552,Married,0,Own Outright,740,3,1046.9594162652752,12,1,1,Wedding,20393.55054855607,12,6.910547778089995,0,Applying for financing to cover the costs of the project.
68,52,Associate,Self-Employed,Technology,19,9867.597564182723,Divorced,0,Own with Mortgage,650,1,3648.866033,28,1,0,Medical,23649.121186956487,60,11.256058840979339,1,Need funds for the project.
69,56,Below High School,Contract,Other,16,5700.321089678508,Married,2,Own with Mortgage,594,3,2548.4309801703967,13,1,1,Wedding,11999.688736352433,36,15.903814703222677,1,"I need a personal loan for a long time, and I can't afford to take it for granted."
70,30,Bachelor,Part-Time,Healthcare,7,6731.023510633083,Married,2,Own with Mortgage,630,1,3303.3949867125975,2,1,1,Education,57943.29763465403,120,12.150077705072281,1,Applying for student financing for the next four years.
71,21,Bachelor,Part-Time,Government,0,1501.3878575962183,Single,0,Rent,494,1,1022.3508064673854,3,1,1,Car Loan,28076.383077578885,48,13.250909066271925,1,Applying for auto financing to purchase a car in the United States.
72,53,Bachelor,Full-Time,Construction,14,8764.60171,Single,1,Own Outright,846,0,1384.5627782029007,26,0,1,Business,110112.55934923136,240,5.429704951495612,0,Applying for business credit to the IRS.
73,51,High School,Full-Time,Education,16,5025.388612312103,Divorced,1,Own Outright,664,2,1298.9816073413945,28,1,0,Vacation,11945.822489116357,24,9.617292846192143,1,I need a personal loan for a week to pay off the debt.
74,20,Bachelor,Part-Time,Finance,0,1472.009377398708,Married,0,Rent,534,4,923.3659556438389,0,0,1,Vacation,7117.520367,60,13.949421240909935,1,I need a personal loan for my family to pay for my car.
75,45,Associate,Full-Time,Finance,21,8128.572930344151,Single,0,Own Outright,838,1,1298.4831282949601,16,0,1,Education,58098.11533592707,84,5.735543157239814,0,I need an education loan to pursue a career in finance.
76,64,Bachelor,Full-Time,Retail,39,7446.441698207522,Married,3,Own Outright,833,1,434.7459284194451,2,1,1,Education,47726.45883119092,60,5.698325539196185,0,Applying for student financing for student loans.
77,19,Bachelor,Full-Time,Finance,0,2598.0726885623817,Single,1,Rent,562,2,718.5130189172469,0,1,1,Vacation,23289.951213451648,60,16.13067516043274,1,"I need a personal loan for me, and I would like to see the money come back to me, and I would like to see the money come back"
78,45,High School,Part-Time,Government,24,5517.493467412173,Married,2,Living with Parents,625,4,2729.674075,2,1,1,Vacation,16668.202344198762,36,10.664210085926145,1,Applying for financing to cover the costs of the project.
79,38,Bachelor,Full-Time,Technology,7,15333.990566331457,Married,2,Own with Mortgage,675,0,5092.765877763866,10,1,1,Home Purchase,421756.60627490364,360,8.121000693143975,0,Need mortgage financing for your own home.
80,24,Associate,Full-Time,Finance,1,3535.568320182677,Single,0,Rent,539,0,2290.4323387128666,5,0,0,Home Purchase,127011.60999889598,120,17.54764214428669,1,I am applying for a home loan to purchase a home in the UK.
81,22,Master,Contract,Finance,1,5177.855948,Single,0,Rent,613,1,1384.813113289801,0,1,1,Education,99537.96854527904,120,12.780140915434213,0,Need funding for my education in the first place.
82,25,High School,Part-Time,Construction,6,3432.805327206129,Single,0,Rent,718,2,758.8852042279867,3,1,1,Home Purchase,196839.9270498926,120,5.662996104468712,0,
83,24,Associate,Part-Time,Technology,5,2031.854041808605,Single,0,Rent,577,2,1112.7259531812283,5,1,0,Car Loan,45013.57127131733,60,17.94460397766997,1,Applying for auto financing to purchase a car.
84,43,Bachelor,Full-Time,Finance,1,10578.311906731054,Single,0,Rent,712,0,4170.9601129842995,12,0,1,Vacation,15172.699018071766,36,7.847156452,0,I need a personal loan for me.
85,43,High School,Self-Employed,Services,22,8276.286697693165,Married,1,Own with Mortgage,766,2,1565.830747650825,1,1,1,Vacation,15223.823610356747,48,3.891092606677715,0,Applying for financing to cover the cost of the project.
86,46,Bachelor,Part-Time,Education,10,9024.677141197537,Married,2,Own with Mortgage,673,1,3420.693378573775,5,1,1,Debt Consolidation,48004.49413586901,48,8.418568234,1,I want to consolidate my debts to repay my debts.
87,43,Associate,Contract,Construction,19,5592.3058462151885,Married,1,Own with Mortgage,645,0,2176.213803646802,1,1,1,Car Loan,26200.956079683718,48,11.273216378769389,0,I need a car loan to buy a vehicle for the next five years.
88,63,High School,Full-Time,Finance,5,3786.0908008950005,Widowed,1,Living with Parents,636,1,2024.550126414351,5,0,1,Home Improvement,17822.56040367994,12,13.018484886394367,0,I need a personal loan for my children.
89,56,Associate,Full-Time,Services,11,6612.3618770544135,Divorced,1,Own Outright,706,0,2401.1922982151386,17,1,1,Car Loan,47828.783100186294,48,6.656792778,0,
90,21,High School,Full-Time,Other,2,3058.115582617608,Single,0,Own with Mortgage,606,4,1630.0181613493828,3,0,1,Car Loan,29050.335669960274,36,10.490957278177236,1,I need a car loan to buy a vehicle for the next few months.
91,67,Bachelor,Full-Time,Other,28,10105.754204883096,Divorced,0,Own with Mortgage,779,1,1990.9771686059403,8,1,1,Vacation,25087.023259621215,36,3.943598859449307,0,Applying for financing to cover the cost of the new building.
92,33,Bachelor,Contract,Healthcare,12,12819.493109906325,Married,0,Rent,722,1,4273.146984760407,12,1,1,Education,10036.926049525739,84,8.247829011862157,1,Applying for student financing for a college or university is a federal crime.
93,36,Bachelor,Full-Time,Healthcare,1,17028.748727503378,Divorced,3,Rent,675,0,3029.130616,4,1,0,Home Improvement,22603.868769721845,36,10.638901656942474,1,Applying for financing to cover the costs of the costs of the program.
94,52,High School,Self-Employed,Retail,16,4391.937137593756,Married,1,Rent,708,2,1338.433580853313,27,1,1,Education,94669.59697,60,5.883810774,0,"Need funding for my education in the UK is Â£10,000 per year."
95,57,High School,Part-Time,Other,31,2464.986060766943,Married,2,Own with Mortgage,660,0,482.95817770624456,9,1,1,Debt Consolidation,15301.683105987968,24,7.634019851689572,1,Need to refinance existing loans because they are now in the process of buying new homes.
96,27,Bachelor,Part-Time,Finance,0,7513.691738129828,Single,0,Rent,683,2,1989.504895301328,2,0,0,Medical,29500.814382136927,12,8.650630636006278,0,Need funds for the project.
97,51,Below High School,Full-Time,Retail,16,3232.9937332577283,Married,3,Own Outright,703,1,1043.0932859720983,18,1,1,Car Loan,33245.52335947493,60,8.374512379,0,
98,20,Associate,Part-Time,Technology,0,1488.6672662653873,Single,0,Own with Mortgage,606,1,480.1703688141972,2,1,1,Vacation,6972.581814614555,12,11.005036653868508,1,"I need a personal loan for me, and I will be able to repay the loan at any time."
99,33,Associate,Full-Time,Healthcare,8,5845.1875818127555,Widowed,2,Own with Mortgage,614,2,2285.275292044077,1,0,1,Home Purchase,204608.42933528477,360,10.979756182774626,1,I am applying for a home loan to purchase a car.
100,31,Associate,Full-Time,Education,6,9029.627000588105,Married,0,Own with Mortgage,643,2,2476.6080330793716,1,1,1,Wedding,15074.504469129037,60,12.779804355609848,0,I need a personal loan for my daughter.
101,28,Master,Full-Time,Manufacturing,3,11991.340500595794,Married,1,Own with Mortgage,779,2,734.2923193219792,6,1,1,Home Improvement,17277.39323457913,60,3.763483045269513,0,Need funds for the project.
102,64,Bachelor,Contract,Construction,28,7842.249252873157,Married,3,Own Outright,691,3,1664.4066807674449,18,1,0,Business,81776.69001113658,180,7.590098434115257,1,Applying for business credit to a credit card company is not a requirement.
103,30,High School,Contract,Other,9,7233.103725649847,Married,2,Rent,663,0,1399.2418491121239,0,0,1,Car Loan,17233.911214839976,48,8.308991197034468,1,"Looking to finance a car because of the fact that it is a car, it is not a car."
104,62,Bachelor,Unemployed,Services,0,1007.2747633951468,Married,0,Own Outright,660,1,338.0155405067857,23,0,0,Medical,26994.31567806619,12,8.947645020447805,1,Applying for financing to cover the cost of the project.
105,35,Bachelor,Full-Time,Other,10,13698.604805260384,Married,1,Own with Mortgage,763,0,3136.726267127126,0,0,1,Home Purchase,214856.4292333771,240,3.8958862009426585,1,I am applying for a home loan to purchase a home in the UK.
106,44,Below High School,Full-Time,Retail,25,5518.741864777266,Married,2,Rent,659,1,1213.014896714866,9,0,1,Car Loan,20814.383328405587,36,8.261061043449375,1,I need a car loan to buy a vehicle for my family.
107,23,High School,Full-Time,Government,0,3149.367218920938,Single,0,Rent,557,2,1652.0860972488497,1,0,0,Business,99111.63329803201,360,18.51161341503574,0,Applying for business credit to be applied to the same business.
108,32,Master,Unemployed,Other,0,3385.4689239182217,Married,2,Own with Mortgage,538,2,1935.909111575232,1,1,1,Car Loan,30751.817569386225,36,15.716691147409101,1,I need a car loan to buy a vehicle for a job.
109,22,High School,Part-Time,Construction,0,1664.6480822243427,Widowed,0,Own with Mortgage,530,4,840.7651000137264,0,1,1,Debt Consolidation,27236.64517870472,48,16.22816830877737,1,Need to refinance existing loans because of the cost of borrowing.
110,45,Bachelor,Self-Employed,Healthcare,19,10352.507379975235,Widowed,1,Living with Parents,677,3,3248.795848986992,4,0,1,Debt Consolidation,16431.24616623681,12,10.60367275764683,1,Need to refinance existing loans because they canâ€ºt afford to have to pay for the loan.
111,69,High School,Contract,Finance,32,6556.210057255203,Married,2,Own Outright,748,2,1633.3859529849483,3,1,1,Wedding,20552.167505696838,12,8.348561870972926,0,Need funds for the research.
112,66,Associate,Part-Time,Education,35,4714.624101428649,Divorced,2,Own Outright,642,0,2366.0680354405968,29,1,1,Medical,27854.913400232523,24,13.293913797682839,1,Applying for financing to cover the cost of the project.
113,21,Associate,Part-Time,Manufacturing,0,2110.7401174382762,Single,0,Rent,583,2,977.0062107,1,0,1,Vacation,24081.94712317443,36,18.74100847566309,1,Applying for financing to cover expenses and expenses for the remainder of the project.
114,59,Associate,Full-Time,Government,24,9376.450671,Married,0,Own with Mortgage,797,2,1059.8146668313325,3,0,1,Vacation,11905.933124378826,48,4.818162952288141,0,Need funds for the project.
115,30,Associate,Full-Time,Healthcare,8,8368.508667710783,Single,0,Own with Mortgage,715,1,1898.6677399419195,7,0,0,Home Improvement,17301.362234560016,24,6.197623994862565,0,Applying for financing to cover the cost of the project.
116,18,Associate,Full-Time,Finance,0,2908.0832718587676,Single,0,Rent,561,2,1525.662119266103,0,0,1,Vacation,27559.231074560994,48,13.203242638729288,1,Applying for financing to cover the cost of the project.
117,66,Master,Self-Employed,Construction,7,7518.902870593989,Married,2,Own Outright,727,0,2714.182228671901,29,1,1,Home Improvement,12122.70053827402,36,6.815615465612306,0,Need funds for the team.
118,49,High School,Unemployed,Education,0,1945.1567703385547,Married,1,Own with Mortgage,507,2,992.486632,4,0,1,Home Purchase,281528.21580082003,240,16.070610790849727,1,Need mortgage financing for the next three years.
119,45,Associate,Part-Time,Healthcare,24,5539.533255821478,Married,4,Own with Mortgage,710,0,2116.248625271794,23,1,1,Education,57723.690307451376,60,7.891465317447496,1,Applying for student financing for student loans.
120,24,Bachelor,Part-Time,Retail,2,2837.699208520934,Single,0,Rent,637,1,1162.3901864191007,6,1,0,Debt Consolidation,21030.41789423787,60,10.199615683643593,1,Need to refinance existing loans because they are less expensive than the loans they are getting.
121,37,Associate,Full-Time,Manufacturing,1,7427.7465036529065,Married,1,Own with Mortgage,666,1,2853.379389609264,4,1,1,Debt Consolidation,6770.459330082934,36,9.082696598992023,0,Applying for debt consolidation to reduce the cost of the debt to the public.
122,39,Below High School,Full-Time,Services,9,5076.583571249943,Married,3,Own with Mortgage,639,3,1731.0117116675083,11,0,1,Personal,18427.060679916387,24,13.311476015150355,0,Need funds for the project.
123,47,Master,Full-Time,Healthcare,9,7777.030999,Married,1,Own with Mortgage,713,0,1877.3669247650444,25,1,1,Debt Consolidation,20916.35089613303,60,8.426119831439262,0,"I want to consolidate my debts to the benefit of the public, and I want to have the power to make a difference in our lives."
124,58,High School,Self-Employed,Government,18,5425.838698308032,Single,0,Living with Parents,738,0,992.2354935334381,11,1,0,Home Purchase,175121.15971573946,180,6.765484535616494,0,Looking to buy a house for my family because they are in the middle of a recession.
125,23,Bachelor,Part-Time,Construction,0,2078.9267706840537,Married,3,Living with Parents,604,3,778.0223787369853,3,1,1,Home Purchase,182691.85969115378,180,12.420358074162154,1,"Need mortgage financing for the year ended June 30, 2013."
126,60,Bachelor,Full-Time,Services,26,12481.854450969657,Divorced,1,Rent,710,2,4549.708563709731,28,1,1,Education,99786.54677,60,5.621052480579099,0,Applying for student financing for a new school.
127,66,Bachelor,Part-Time,Other,2,7573.25388,Divorced,0,Own with Mortgage,762,2,426.5046727700458,17,1,1,Car Loan,47767.42861852914,36,4.853240838252676,0,"I need a car loan to buy a vehicle for the rest of the year,â€ she said."
128,56,Master,Full-Time,Other,5,6998.9533252962965,Widowed,0,Own with Mortgage,743,2,2455.015233145499,7,1,0,Education,48862.45907073208,120,6.887370451195444,1,Need funding for my education in the United States is $7.
129,33,High School,Full-Time,Other,9,6964.165692691813,Single,0,Own Outright,681,2,1832.129723708662,10,0,0,Medical,21089.442379913125,36,10.060563326143662,0,I need a personal loan for my children to live with.
130,39,Associate,Full-Time,Government,2,11570.353849056366,Married,3,Own Outright,735,0,3372.8657816457703,4,1,0,Personal,8966.161191062276,48,6.525639000149205,0,Applying for financing to cover expenses for the remainder of the contract.
131,20,High School,Full-Time,Manufacturing,0,3214.0983012642923,Single,0,Rent,674,1,1041.9263887316413,1,1,1,Medical,13108.645192376393,24,8.238101797,0,Need funds for the next 3 months.
132,68,Associate,Full-Time,Government,4,8973.954063114725,Married,1,Rent,674,0,2240.1066521691364,4,1,1,Vacation,29792.907297722002,48,8.425202819233611,1,"I need a personal loan for the future,â€ he said."
133,23,Below High School,Part-Time,Services,0,924.4829935870864,Single,0,Rent,466,1,377.15062884273505,5,1,0,Vacation,5641.759247411355,36,14.292167982901836,1,Need funds for a new project.
134,41,High School,Full-Time,Construction,2,9985.063573302154,Single,2,Rent,773,0,755.8700179,0,0,1,Home Purchase,433921.46185760107,120,5.064849175253932,1,Need mortgage financing for the United States.
135,23,Bachelor,Self-Employed,Services,0,4877.853801148238,Married,1,Rent,584,2,2602.2840912688207,3,1,1,Debt Consolidation,34089.376009640146,48,18.10049627,1,I want to consolidate my debts to the extent that I can.
136,21,Associate,Part-Time,Education,1,1541.6623437062897,Married,2,Rent,492,2,935.7144092,1,0,1,Home Purchase,147186.10629503807,120,16.064067711511505,1,I am applying for a home loan to purchase a house in the UK.
